Date,DANGCEM,GTCO,ZENITHB
06/22/2026,973.4,127.1,115.35
06/19/2026,1070.0,115.55,110.0
06/18/2026,1070.0,128.35,115.5
06/17/2026,1155.0,129.0,119.0
06/16/2026,1155.0,126.0,120.0
06/15/2026,1155.0,135.65,123.5
06/11/2026,1155.0,135.95,124.5
06/10/2026,1155.0,136.0,127.0
06/09/2026,1155.0,136.0,129.0
06/08/2026,1180.0,135.0,128.5
06/05/2026,1180.0,134.7,128.0
06/04/2026,1180.0,135.0,124.9
06/03/2026,1180.0,133.4,124.9
06/02/2026,1180.0,136.0,125.95
06/01/2026,1180.0,136.0,128.85
05/29/2026,1180.0,137.0,131.1
05/28/2026,1180.0,140.0,
05/26/2026,1180.0,140.0,132.0
05/25/2026,1180.0,144.35,131.95
05/22/2026,1180.0,145.0,132.0
05/21/2026,1180.0,145.0,132.0
05/20/2026,1180.0,145.0,132.0
05/19/2026,1180.0,145.7,131.95
05/18/2026,1180.0,146.5,130.0
05/15/2026,1180.0,146.8,129.0
05/14/2026,1180.0,147.5,130.1
05/13/2026,1180.0,147.5,131.0
05/12/2026,1180.0,151.95,135.0
05/11/2026,1180.0,153.0,132.0
05/08/2026,1088.0,144.0,126.0
05/07/2026,989.1,139.0,125.0
05/06/2026,1040.0,139.0,129.0
05/05/2026,1040.0,139.0,128.2
05/04/2026,970.0,140.0,129.4
04/30/2026,970.0,135.0,130.5
04/29/2026,970.0,136.0,125.45
04/28/2026,938.9,129.85,122.7
04/27/2026,907.5,128.0,121.85
04/24/2026,890.0,133.8,135.9
04/23/2026,870.0,133.0,134.0
04/22/2026,850.0,130.0,129.5
04/21/2026,850.0,130.0,127.0
04/20/2026,823.0,129.9,127.2
04/17/2026,823.0,128.5,126.0
04/16/2026,810.0,128.0,124.0
04/15/2026,810.0,130.0,122.9
04/14/2026,810.0,126.0,115.0
04/13/2026,810.0,134.0,112.6
04/10/2026,810.0,135.0,112.0
04/09/2026,810.0,131.5,112.0
04/08/2026,810.0,129.0,109.0
04/07/2026,810.0,125.0,103.0
04/02/2026,810.0,122.0,103.0
04/01/2026,810.0,120.95,103.0
03/31/2026,810.0,112.65,95.8
03/30/2026,810.0,114.95,100.05
03/27/2026,810.0,116.1,103.0
03/26/2026,810.0,115.4,103.05
03/25/2026,810.0,114.55,101.5
03/24/2026,810.0,111.0,107.2
03/23/2026,810.0,105.0,107.5
03/18/2026,810.0,114.35,110.0
03/17/2026,810.0,123.5,111.15
03/16/2026,802.9,118.15,103.0
03/13/2026,794.9,117.5,95.95
03/12/2026,810.0,117.45,93.15
03/11/2026,810.0,118.0,93.0
03/10/2026,815.0,117.0,93.15
03/09/2026,815.0,118.0,93.05
03/06/2026,815.0,119.0,93.0
03/05/2026,810.0,119.0,93.1
03/04/2026,809.9,119.0,92.0
03/03/2026,809.9,118.9,92.0
03/02/2026,809.9,117.95,91.95
02/27/2026,779.0,117.0,91.0
02/26/2026,829.5,117.1,89.0
02/25/2026,829.5,118.0,91.0
02/24/2026,829.5,120.0,93.0
02/23/2026,799.9,120.0,88.95
02/20/2026,799.9,118.0,86.5
02/19/2026,799.9,117.0,85.0
02/18/2026,799.9,115.95,83.7
02/17/2026,799.9,117.2,80.55
02/16/2026,798.6,120.0,89.5
02/13/2026,726.3,112.0,81.4
02/12/2026,726.3,107.0,78.0
02/11/2026,739.9,106.0,77.85
02/10/2026,739.9,101.0,76.1
02/09/2026,739.9,100.2,74.3
02/06/2026,680.0,100.25,74.0
02/05/2026,660.0,100.0,73.6
02/04/2026,649.9,99.8,73.8
02/03/2026,644.0,99.5,73.2
02/02/2026,635.0,98.8,71.5
01/30/2026,635.0,99.0,71.45
01/29/2026,635.0,98.85,71.35
01/28/2026,635.0,99.0,71.0
01/27/2026,635.0,98.5,70.9
01/26/2026,635.0,98.5,71.0
01/23/2026,635.0,98.5,71.0
01/22/2026,635.0,95.6,69.55
01/21/2026,635.0,94.95,72.0
01/20/2026,635.0,95.0,72.0
01/19/2026,635.0,97.4,71.4
01/16/2026,635.0,98.95,69.85
01/15/2026,635.0,98.9,69.0
01/14/2026,635.0,99.0,69.0
01/13/2026,635.0,99.5,68.0
01/12/2026,635.0,99.45,67.0
01/09/2026,635.0,99.2,67.0
01/08/2026,635.0,99.0,67.0
01/07/2026,635.0,99.0,67.0
01/06/2026,635.0,99.95,66.9
01/05/2026,609.0,97.0,67.0
01/02/2026,609.0,92.3,64.5
12/31/2025,609.0,90.7,61.8
12/30/2025,609.0,91.0,62.85
12/29/2025,609.0,89.55,62.7
12/24/2025,609.0,88.65,63.0
12/23/2025,610.0,88.0,62.5
12/22/2025,610.0,88.1,63.0
12/19/2025,610.0,88.1,63.3
12/18/2025,614.9,88.1,63.5
12/17/2025,614.9,88.4,63.5
12/16/2025,614.9,88.0,63.5
12/15/2025,614.9,89.9,64.05
12/12/2025,614.9,89.9,64.0
12/11/2025,614.9,90.85,64.45
12/10/2025,614.9,91.25,64.5
12/09/2025,614.9,91.0,64.5
12/08/2025,614.9,90.05,65.0
12/05/2025,614.9,89.0,62.2
12/04/2025,588.0,88.0,60.5
12/03/2025,588.0,87.0,60.0
12/02/2025,588.0,86.4,59.7
12/01/2025,534.6,86.4,60.0
11/28/2025,534.6,86.4,60.0
11/27/2025,534.6,86.1,60.0
11/26/2025,534.6,86.0,60.3
11/25/2025,534.6,86.0,59.75
11/24/2025,534.6,84.8,59.5
11/21/2025,534.6,84.5,59.75
11/20/2025,534.6,84.0,59.85
11/19/2025,534.6,84.6,59.5
11/18/2025,534.6,85.8,61.0
11/17/2025,534.6,85.5,62.95
11/14/2025,594.0,86.0,64.0
11/13/2025,594.0,88.5,64.4
11/12/2025,594.0,85.8,59.4
11/11/2025,594.0,78.0,54.0
11/10/2025,660.0,84.5,59.6
11/07/2025,660.0,85.0,60.0
11/06/2025,660.0,85.5,59.9
11/05/2025,660.0,85.95,60.8
11/04/2025,660.0,85.15,61.55
11/03/2025,660.0,89.5,63.0
10/31/2025,660.0,89.5,63.0
10/30/2025,660.0,89.0,63.0
10/29/2025,660.0,90.35,63.7
10/28/2025,665.0,90.45,63.4
10/27/2025,665.0,90.65,65.5
10/24/2025,665.0,92.5,67.2
10/23/2025,649.3,92.8,67.55
10/22/2025,639.0,93.0,67.55
10/21/2025,600.0,92.95,68.5
10/20/2025,600.0,93.25,68.6
10/17/2025,600.0,93.3,68.2
10/16/2025,599.8,93.5,68.05
10/15/2025,585.6,93.4,68.1
10/14/2025,585.6,94.0,68.0
10/13/2025,585.0,94.0,68.0
10/10/2025,575.0,95.0,68.5
10/09/2025,540.0,95.0,69.2
10/08/2025,530.0,94.0,69.0
10/07/2025,530.0,95.0,68.6
10/06/2025,525.1,99.0,69.0
10/03/2025,525.1,95.85,69.4
10/02/2025,525.1,95.9,69.0
09/30/2025,525.1,93.9,69.0
09/29/2025,525.1,94.0,69.6
09/26/2025,525.1,93.0,69.85
09/25/2025,516.2,92.8,69.45
09/24/2025,516.2,91.0,68.8
09/23/2025,516.2,90.0,67.9
09/22/2025,516.2,93.0,65.7
09/19/2025,516.2,94.0,64.0
09/18/2025,516.2,94.7,66.0
09/17/2025,516.2,94.0,66.95
09/16/2025,511.2,95.0,67.8
09/15/2025,511.2,94.2,68.0
09/12/2025,511.2,93.0,68.0
09/11/2025,528.0,92.65,67.0
09/10/2025,528.0,92.4,66.0
09/09/2025,520.2,92.5,66.0
09/08/2025,520.2,92.0,65.75
09/04/2025,520.2,92.0,64.9
