"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2026","973.40","1,070.00","1,059.00","963.00","236.90K","-9.03%"
"06/19/2026","1,070.00","1,070.00","1,070.00","1,070.00","975.04K","0.00%"
"06/18/2026","1,070.00","1,110.00","1,070.00","1,070.00","1.47M","-7.36%"
"06/17/2026","1,155.00","1,155.00","1,155.00","1,155.00","744.45K","0.00%"
"06/16/2026","1,155.00","1,155.00","1,155.00","1,155.00","959.25K","0.00%"
"06/15/2026","1,155.00","1,155.00","1,155.00","1,155.00","636.91K","0.00%"
"06/11/2026","1,155.00","1,155.00","1,155.00","1,155.00","339.75K","0.00%"
"06/10/2026","1,155.00","1,155.00","1,155.00","1,155.00","572.97K","0.00%"
"06/09/2026","1,155.00","1,180.00","1,155.00","1,155.00","1.94M","-2.12%"
"06/08/2026","1,180.00","1,180.00","1,180.00","1,180.00","756.61K","0.00%"
"06/05/2026","1,180.00","1,180.00","1,180.00","1,180.00","1.14M","0.00%"
"06/04/2026","1,180.00","1,180.00","1,180.00","1,180.00","1.13M","0.00%"
"06/03/2026","1,180.00","1,180.00","1,180.00","1,180.00","622.25K","0.00%"
"06/02/2026","1,180.00","1,180.00","1,180.00","1,180.00","824.93K","0.00%"
"06/01/2026","1,180.00","1,180.00","1,180.00","1,180.00","950.64K","0.00%"
"05/29/2026","1,180.00","1,180.00","1,180.00","1,180.00","843.91K","0.00%"
"05/28/2026","1,180.00","1,180.00","1,180.00","1,180.00","437.82K","0.00%"
"05/26/2026","1,180.00","1,180.00","1,180.00","1,180.00","437.82K","0.00%"
"05/25/2026","1,180.00","1,180.00","1,180.00","1,180.00","1.38M","0.00%"
"05/22/2026","1,180.00","1,180.00","1,180.00","1,180.00","675.58K","0.00%"
"05/21/2026","1,180.00","1,180.00","1,180.00","1,180.00","552.88K","0.00%"
"05/20/2026","1,180.00","1,180.00","1,180.00","1,180.00","1.91M","0.00%"
"05/19/2026","1,180.00","1,180.00","1,180.00","1,180.00","1.40M","0.00%"
"05/18/2026","1,180.00","1,180.00","1,180.00","1,180.00","1.07M","0.00%"
"05/15/2026","1,180.00","1,180.00","1,180.00","1,180.00","1.13M","0.00%"
"05/14/2026","1,180.00","1,180.00","1,180.00","1,180.00","2.56M","0.00%"
"05/13/2026","1,180.00","1,180.00","1,180.00","1,180.00","2.08M","0.00%"
"05/12/2026","1,180.00","1,180.00","1,180.00","1,180.00","3.17M","0.00%"
"05/11/2026","1,180.00","1,088.00","1,189.00","1,111.00","6.49M","8.46%"
"05/08/2026","1,088.00","989.10","1,088.00","1,088.00","5.46M","10.00%"
"05/07/2026","989.10","1,040.00","989.10","989.10","6.48M","-4.89%"
"05/06/2026","1,040.00","1,040.00","1,040.00","1,040.00","1.55M","0.00%"
"05/05/2026","1,040.00","970.00","1,040.00","1,040.00","2.55M","7.22%"
"05/04/2026","970.00","970.00","970.00","970.00","1.42M","0.00%"
"04/30/2026","970.00","970.00","970.00","970.00","3.27M","0.00%"
"04/29/2026","970.00","938.90","970.00","970.00","4.65M","3.31%"
"04/28/2026","938.90","907.50","940.00","936.30","2.53M","3.46%"
"04/27/2026","907.50","890.00","907.50","907.50","2.01M","1.97%"
"04/24/2026","890.00","870.00","890.00","890.00","3.93M","2.30%"
"04/23/2026","870.00","850.00","870.00","870.00","3.53M","2.35%"
"04/22/2026","850.00","850.00","850.00","850.00","552.64K","0.00%"
"04/21/2026","850.00","823.00","850.00","850.00","993.39K","3.28%"
