"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2026","115.35","110.00","118.00","112.00","22.75M","4.86%"
"06/19/2026","110.00","115.50","117.00","110.00","35.17M","-4.76%"
"06/18/2026","115.50","118.85","119.00","115.50","23.51M","-2.94%"
"06/17/2026","119.00","120.00","119.65","118.40","15.39M","-0.83%"
"06/16/2026","120.00","123.50","122.95","118.10","24.94M","-2.83%"
"06/15/2026","123.50","124.50","125.00","121.05","16.62M","-0.80%"
"06/12/2026","124.50","127.00","124.50","124.50","27.36M","0.00%"
"06/11/2026","124.50","127.00","126.50","124.50","27.36M","-1.97%"
"06/10/2026","127.00","129.00","128.00","126.60","17.10M","-1.55%"
"06/09/2026","129.00","128.50","129.00","127.10","26.71M","0.39%"
"06/08/2026","128.50","128.00","128.60","126.05","15.66M","0.39%"
"06/05/2026","128.00","124.90","128.00","124.00","11.03M","2.48%"
"06/04/2026","124.90","124.90","124.90","123.00","26.94M","0.00%"
"06/03/2026","124.90","125.95","125.75","118.15","33.09M","-0.83%"
"06/02/2026","125.95","128.85","126.65","125.00","38.09M","-2.25%"
"06/01/2026","128.85","131.10","131.50","128.10","32.94M","-1.72%"
"05/29/2026","131.10","132.00","135.00","129.50","23.97M","-0.68%"
"05/26/2026","132.00","131.95","132.50","131.80","33.83M","0.04%"
"05/25/2026","131.95","132.00","132.00","131.25","37.93M","-0.04%"
"05/22/2026","132.00","132.00","132.00","130.55","24.39M","0.00%"
"05/21/2026","132.00","132.00","132.00","130.50","23.31M","0.00%"
"05/20/2026","132.00","131.95","132.00","130.75","36.66M","0.04%"
"05/19/2026","131.95","130.00","131.95","130.00","30.40M","1.50%"
"05/18/2026","130.00","129.00","130.00","128.30","14.26M","0.78%"
"05/15/2026","129.00","130.10","130.00","129.00","17.10M","-0.85%"
"05/14/2026","130.10","131.00","131.00","128.90","20.59M","-0.69%"
"05/13/2026","131.00","135.00","132.85","130.45","26.26M","-2.96%"
"05/12/2026","135.00","132.00","136.10","131.00","59.52M","2.27%"
"05/11/2026","132.00","126.00","132.00","127.00","41.69M","4.76%"
"05/08/2026","126.00","125.00","127.00","122.00","52.34M","0.80%"
"05/07/2026","125.00","129.00","130.00","122.00","29.77M","-3.10%"
"05/06/2026","129.00","128.20","129.00","127.00","56.03M","0.62%"
"05/05/2026","128.20","129.40","129.05","127.00","63.06M","-0.93%"
"05/04/2026","129.40","130.50","131.25","129.00","64.62M","-0.84%"
"04/30/2026","130.50","125.50","130.50","125.00","38.42M","4.03%"
"04/29/2026","125.45","122.70","125.50","123.00","52.24M","2.24%"
"04/28/2026","122.70","121.85","124.50","120.00","41.63M","0.70%"
"04/27/2026","121.85","128.00","129.50","115.00","76.07M","-10.34%"
"04/24/2026","135.90","134.05","136.90","134.05","38.42M","1.42%"
"04/23/2026","134.00","128.05","134.50","128.05","36.34M","3.47%"
"04/22/2026","129.50","127.00","129.50","126.05","20.55M","1.97%"
"04/21/2026","127.00","127.20","127.85","123.50","44.16M","-0.16%"
"04/20/2026","127.20","126.00","128.00","126.50","54.93M","0.95%"
"04/17/2026","126.00","124.00","126.00","123.05","70.76M","1.61%"
"04/16/2026","124.00","122.90","124.90","121.00","61.74M","0.90%"
"04/15/2026","122.90","115.00","124.00","115.10","73.29M","6.87%"
"04/14/2026","115.00","112.60","115.00","112.35","39.74M","2.13%"
"04/13/2026","112.60","112.00","113.50","112.00","42.21M","0.54%"
"04/10/2026","112.00","112.00","112.00","111.50","47.79M","0.00%"
"04/09/2026","112.00","109.00","112.05","111.00","43.71M","2.75%"
"04/08/2026","109.00","103.00","109.85","104.15","60.64M","5.83%"
"04/07/2026","103.00","103.00","104.00","102.50","20.14M","0.00%"
"04/06/2026","103.00","103.00","103.00","103.00","24.04M","0.00%"
"04/02/2026","103.00","103.00","103.00","102.70","24.04M","0.00%"
"04/01/2026","103.00","95.80","105.00","102.50","49.73M","7.52%"
"03/31/2026","95.80","100.05","100.00","95.55","24.07M","-4.25%"
"03/30/2026","100.05","103.00","103.00","100.00","26.13M","-2.86%"
"03/27/2026","103.00","103.05","104.00","103.00","13.81M","-0.05%"
"03/26/2026","103.05","101.50","104.45","103.00","17.08M","1.53%"
"03/25/2026","101.50","107.20","107.20","100.00","33.85M","-5.32%"
"03/24/2026","107.20","107.50","108.00","106.20","42.71M","-0.28%"
"03/23/2026","107.50","110.00","110.00","105.10","38.17M","-2.27%"
"03/18/2026","110.00","111.15","111.95","108.05","54.51M","-1.03%"
"03/17/2026","111.15","108.00","113.30","108.00","163.11M","7.91%"
"03/16/2026","103.00","95.00","103.00","95.00","59.95M","7.35%"
"03/13/2026","95.95","93.15","95.95","93.05","13.75M","3.01%"
"03/12/2026","93.15","93.00","93.15","93.05","27.48M","0.16%"
"03/11/2026","93.00","93.15","93.20","93.00","19.10M","-0.16%"
"03/10/2026","93.15","93.05","93.20","92.90","35.35M","0.11%"
"03/09/2026","93.05","93.00","93.40","93.00","39.72M","0.05%"
"03/06/2026","93.00","93.10","93.15","92.10","39.99M","-0.11%"
"03/05/2026","93.10","92.00","93.10","92.00","24.34M","1.20%"
"03/04/2026","92.00","92.00","92.70","92.00","47.63M","0.00%"
"03/03/2026","92.00","91.50","92.45","91.00","40.86M","0.05%"
"03/02/2026","91.95","91.00","92.55","90.50","24.37M","1.04%"
"02/27/2026","91.00","88.90","91.40","88.80","79.36M","2.25%"
"02/26/2026","89.00","90.00","90.55","88.05","45.49M","-2.20%"
"02/25/2026","91.00","93.00","94.00","89.20","120.67M","-2.15%"
"02/24/2026","93.00","88.95","93.00","89.00","67.62M","4.55%"
"02/23/2026","88.95","86.50","88.95","87.10","16.13M","2.83%"
"02/20/2026","86.50","85.00","86.95","83.70","43.99M","1.76%"
"02/19/2026","85.00","83.70","85.00","83.90","53.22M","1.55%"
"02/18/2026","83.70","80.55","86.00","82.00","30.20M","3.91%"
"02/17/2026","80.55","89.50","90.20","80.55","93.10M","-10.00%"
"02/16/2026","89.50","81.40","89.50","82.50","69.28M","9.95%"
"02/13/2026","81.40","78.00","81.40","77.95","72.60M","4.36%"
"02/12/2026","78.00","77.85","78.10","77.50","42.52M","0.19%"
"02/11/2026","77.85","76.10","79.00","76.10","34.76M","2.30%"
"02/10/2026","76.10","74.30","76.25","75.00","52.08M","2.42%"
"02/09/2026","74.30","74.00","74.40","74.05","46.24M","0.41%"
"02/06/2026","74.00","73.60","74.10","73.80","32.43M","0.54%"
"02/05/2026","73.60","73.80","74.35","73.60","22.09M","-0.27%"
"02/04/2026","73.80","73.20","74.50","73.55","14.65M","0.82%"
"02/03/2026","73.20","71.50","74.65","71.50","35.42M","2.38%"
"02/02/2026","71.50","71.45","71.55","71.35","40.19M","0.07%"
"01/30/2026","71.45","71.35","71.65","71.25","30.55M","0.14%"
"01/29/2026","71.35","71.00","71.40","71.10","21.03M","0.49%"
"01/28/2026","71.00","70.90","71.45","70.95","32.42M","0.14%"
"01/27/2026","70.90","71.00","71.00","70.50","14.51M","-0.14%"
"01/26/2026","71.00","71.00","71.05","70.15","25.98M","0.00%"
"01/23/2026","71.00","69.55","71.00","70.00","49.19M","2.08%"
"01/22/2026","69.55","72.00","72.50","69.55","23.40M","-3.40%"
"01/21/2026","72.00","72.00","72.05","71.80","38.11M","0.00%"
"01/20/2026","72.00","71.40","72.35","71.50","49.10M","0.84%"
"01/19/2026","71.40","69.85","71.50","70.00","22.28M","2.22%"
"01/16/2026","69.85","69.00","69.95","69.20","54.55M","1.23%"
"01/15/2026","69.00","69.00","69.50","69.00","72.43M","0.00%"
"01/14/2026","69.00","68.00","69.00","68.80","18.10M","1.47%"
"01/13/2026","68.00","67.00","68.25","67.00","23.66M","1.49%"
"01/12/2026","67.00","67.00","67.50","67.00","17.08M","0.00%"
"01/09/2026","67.00","67.00","67.25","66.90","17.89M","0.00%"
"01/08/2026","67.00","67.00","68.45","67.00","22.39M","0.00%"
"01/07/2026","67.00","66.90","67.75","67.00","22.07M","0.15%"
"01/06/2026","66.90","67.00","69.55","65.55","19.89M","-0.15%"
"01/05/2026","67.00","64.50","67.20","65.00","53.39M","3.88%"
"01/02/2026","64.50","61.80","64.50","63.00","9.94M","4.37%"
"12/31/2025","61.80","62.85","62.95","60.00","58.76M","-1.67%"
"12/30/2025","62.85","62.70","63.00","62.50","36.11M","0.24%"
"12/29/2025","62.70","63.00","63.20","62.60","50.57M","-0.48%"
"12/24/2025","63.00","62.50","63.05","62.65","33.93M","0.80%"
"12/23/2025","62.50","63.00","62.95","61.00","19.91M","-0.79%"
"12/22/2025","63.00","63.30","63.40","63.00","18.09M","-0.47%"
"12/19/2025","63.30","63.50","63.50","63.30","19.28M","-0.31%"
"12/18/2025","63.50","63.50","63.50","63.40","10.50M","0.00%"
"12/17/2025","63.50","63.50","64.00","62.75","32.22M","0.00%"
"12/16/2025","63.50","64.05","64.50","63.50","14.29M","-0.86%"
"12/15/2025","64.05","64.00","64.50","64.05","8.67M","0.08%"
"12/12/2025","64.00","64.00","64.00","63.75","37.67M","-0.70%"
"12/11/2025","64.45","64.50","64.65","64.40","20.33M","-0.08%"
"12/10/2025","64.50","64.50","64.95","64.40","10.60M","0.00%"
"12/09/2025","64.50","65.00","65.30","64.50","16.24M","-0.77%"
"12/08/2025","65.00","62.20","65.95","63.00","41.99M","4.50%"
"12/05/2025","62.20","60.50","62.20","60.80","59.46M","2.81%"
"12/04/2025","60.50","60.00","60.85","60.00","27.10M","0.83%"
"12/03/2025","60.00","59.70","60.10","59.95","52.66M","0.50%"
"12/02/2025","59.70","60.00","60.00","59.50","40.33M","-0.50%"
"12/01/2025","60.00","60.00","60.10","59.80","25.02M","0.00%"
"11/28/2025","60.00","60.00","60.50","60.00","15.07M","0.00%"
"11/27/2025","60.00","60.30","61.00","60.00","24.56M","-0.50%"
"11/26/2025","60.30","59.75","61.10","60.00","36.13M","0.92%"
"11/25/2025","59.75","59.50","60.10","59.50","9.84M","0.42%"
"11/24/2025","59.50","59.75","59.75","59.00","13.13M","-0.42%"
"11/21/2025","59.75","60.00","60.00","59.05","91.50M","-0.17%"
"11/20/2025","59.85","59.50","59.95","59.50","13.72M","0.59%"
"11/19/2025","59.50","61.00","60.25","59.50","34.54M","-2.46%"
"11/18/2025","61.00","62.95","61.60","60.10","12.12M","-3.10%"
"11/17/2025","62.95","64.00","64.00","62.75","13.24M","-1.64%"
"11/14/2025","64.00","64.40","64.55","63.10","25.50M","-0.62%"
"11/13/2025","64.40","65.00","65.00","62.15","40.77M","8.42%"
"11/12/2025","59.40","59.40","59.40","59.40","86.81M","10.00%"
"11/11/2025","54.00","59.60","59.60","53.70","41.92M","-9.40%"
"11/10/2025","59.60","60.00","60.00","59.45","21.94M","-0.67%"
"11/07/2025","60.00","59.90","60.20","59.90","22.46M","0.17%"
"11/06/2025","59.90","60.80","60.10","59.60","41.89M","-1.48%"
"11/05/2025","60.80","61.55","62.00","60.50","53.67M","-1.22%"
"11/04/2025","61.55","63.00","62.95","60.40","38.28M","-2.30%"
"11/03/2025","63.00","63.00","63.25","62.90","31.81M","0.00%"
"10/31/2025","63.00","63.00","63.40","63.00","21.54M","0.00%"
"10/30/2025","63.00","63.70","64.00","63.00","13.28M","-1.10%"
"10/29/2025","63.70","63.40","64.00","63.00","17.02M","0.47%"
"10/28/2025","63.40","65.50","65.00","62.15","28.14M","-3.21%"
"10/27/2025","65.50","67.20","67.25","65.00","18.18M","-2.53%"
"10/24/2025","67.20","67.55","67.55","67.20","15.06M","-0.52%"
"10/23/2025","67.55","67.55","68.00","67.10","12.09M","0.00%"
