REGION,DANGOTE CEMENT,GUARANTY TRUST BANK,ZENITH BANK
Abia,3,1,96
Adamawa,3,4,93
Akwa Ibom,3,1,96
Anambra,3,1,96
Bauchi,4,3,93
Bayelsa,3,2,95
Benue,10,1,89
Borno,5,2,93
Cross River,4,1,95
Delta,2,2,96
Ebonyi,5,1,94
Edo,3,2,95
Ekiti,6,4,90
Enugu,3,1,96
Federal Capital Territory,3,4,93
Gombe,6,3,91
Imo,3,1,96
Jigawa,2,3,95
Kaduna,5,3,92
Kano,4,3,93
Katsina,5,2,93
Kebbi,4,1,95
Kogi,13,2,85
Kwara,6,2,92
Lagos,4,4,92
Nasarawa,5,2,93
Niger,4,1,95
Ogun State,5,4,91
Ondo,6,2,92
Osun,6,2,92
Oyo,5,4,91
Plateau,5,4,91
Rivers,3,3,94
Sokoto,4,2,94
Taraba,1,1,98
Yobe,1,0,99
Zamfara,2,0,98
